date,bitly,source,tags,clicks
2022-05-27,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2.0
2022-05-27,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,1.0
2022-05-27,bit.ly/LA-DREF,direct,LA_PMT,7.0
2022-05-27,bit.ly/LA-DREF,https://l.facebook.com/,LA_PMT,3.0
2022-05-27,bit.ly/LA-DREF,http://partners.bit.ly/qr,LA_PMT,1.0
2022-05-27,bit.ly/togetherAoU,https://l.facebook.com/,,1.0
2022-05-28,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-05-29,bit.ly/exploreAoU,http://partners.bit.ly/qr,Researcher,1.0
2022-05-29,bit.ly/PrideNet_PMT,http://partners.bit.ly/qr,NY_PMT,1.0
2022-05-29,bit.ly/Unidos_PMT,http://partners.bit.ly/qr,pmt / NY_PMT,1.0
2022-05-29,bit.ly/NHMA_PMT,http://partners.bit.ly/qr,NY_PMT,1.0
2022-05-29,bit.ly/PMT_NAHN,http://partners.bit.ly/qr,NY_PMT / pmt,2.0
2022-05-29,bit.ly/LGBTQI_PMT,http://partners.bit.ly/qr,NY_PMT,2.0
2022-05-29,bit.ly/NBNA_PMT,http://partners.bit.ly/qr,pmt / NY_PMT,1.0
2022-05-29,bit.ly/LULAC_PMT,http://partners.bit.ly/qr,NY_PMT,1.0
2022-05-29,bit.ly/AACN_PMT,http://partners.bit.ly/qr,pmt / NY_PMT,1.0
2022-05-29,bit.ly/BGLC_PMT,http://partners.bit.ly/qr,pmt / NY_PMT,1.0
2022-05-29,bit.ly/NAHN_PMT,http://partners.bit.ly/qr,Detroit_PMT,1.0
2022-05-29,bit.ly/LGBTDetroit_PMT,http://partners.bit.ly/qr,Detroit_PMT,1.0
2022-05-29,bit.ly/BWHI_PMT,http://partners.bit.ly/qr,Detroit_PMT,1.0
2022-05-29,bit.ly/AFP-PMT,http://partners.bit.ly/qr,Detroit_PMT,2.0
2022-05-29,bit.ly/Cobb_PMT,http://partners.bit.ly/qr,Detroit_PMT / pmt,1.0
2022-05-29,bit.ly/DREF_PMT,http://partners.bit.ly/qr,Detroit_PMT,2.0
2022-05-29,bit.ly/LA-GoldenChange-es,http://m.facebook.com/,LA_PMT,1.0
2022-05-29,bit.ly/AoUTodosjuntos,direct,CPGI Netowrk,1.0
2022-05-30,bit.ly/LA-Xavier,http://partners.bit.ly/qr,LA_PMT,1.0
2022-05-31,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1.0
2022-05-31,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-05-31,bit.ly/LGBTQI_PMT,direct,NY_PMT,1.0
2022-05-31,bit.ly/LGBTDetroit_PMT,direct,Detroit_PMT,1.0
2022-05-31,bit.ly/LGBTDetroit_PMT,android-app://com.google.android.googlequicksearchbox/,Detroit_PMT,1.0
2022-05-31,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,1.0
2022-05-31,bit.ly/LA-GoldenChange-es,http://m.facebook.com,LA_PMT,1.0
2022-06-02,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2.0
2022-06-02,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-06-02,bit.ly/togetherSHV,http://partners.bit.ly/qr,LRC,5.0
2022-06-02,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,2.0
2022-06-02,bit.ly/togetherAoU,direct,,1.0
2022-06-03,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-06-03,bit.ly/LGBTQI_PMT,direct,NY_PMT,1.0
2022-06-03,bit.ly/togetherAoU,http://partners.bit.ly/qr,,1.0
2022-06-04,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-06-04,bit.ly/togetherDTX,direct,HPO Target Market,1.0
2022-06-04,bit.ly/togetherNOLA,direct,LRC,1.0
2022-06-04,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-04,bit.ly/LA-Dillard,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-05,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2.0
2022-06-05,bit.ly/togetherDTX,direct,HPO Target Market,1.0
2022-06-05,bit.ly/LA-Dillard,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-06,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-06,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-06-06,bit.ly/togetherNOLA,https://t.co/,LRC,3.0
2022-06-06,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-06,bit.ly/LA-Xavier,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-07,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4.0
2022-06-07,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-08,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2.0
2022-06-08,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2.0
2022-06-08,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1.0
2022-06-08,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,4.0
2022-06-08,bit.ly/LA-GoldenChange-es,android-app://com.google.android.googlequicksearchbox/,LA_PMT,1.0
2022-06-08,bit.ly/LA-Dillard,http://partners.bit.ly/qr,LA_PMT,6.0
2022-06-08,bit.ly/LA-Xavier,http://partners.bit.ly/qr,LA_PMT,2.0
2022-06-09,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,3.0
2022-06-09,bit.ly/LA-GoldenChange,direct,LA_PMT,1.0
2022-06-09,bit.ly/NAHH_PMT,direct,NY_PMT,1.0
2022-06-09,bit.ly/Unidos_PMT,direct,pmt / NY_PMT,1.0
2022-06-09,bit.ly/BGLC_PMT,direct,pmt / NY_PMT,1.0
2022-06-09,bit.ly/NAHN_PMT,direct,Detroit_PMT,2.0
2022-06-09,bit.ly/AFP-PMT,direct,Detroit_PMT,1.0
2022-06-09,bit.ly/DREF_PMT,direct,Detroit_PMT,1.0
2022-06-09,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,4.0
2022-06-10,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-10,bit.ly/togetherATL,https://www.rootedinresilience.co/,,1.0
2022-06-10,bit.ly/PrideNet_PMT,direct,NY_PMT,1.0
2022-06-10,bit.ly/AHC_PMT,direct,NY_PMT,2.0
2022-06-10,bit.ly/Unidos_PMT,direct,pmt / NY_PMT,1.0
2022-06-10,bit.ly/LGBTQI_PMT,direct,NY_PMT,1.0
2022-06-10,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-10,bit.ly/LA-NOCOA,direct,LA_PMT,1.0
2022-06-10,bit.ly/LA-SUNO,direct,LA_PMT,1.0
2022-06-11,bit.ly/togetherDMV,direct,DV Target Markets,1.0
2022-06-12,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-06-12,bit.ly/togetherNOLA,direct,LRC,2.0
2022-06-13,bit.ly/togetherDTX,direct,HPO Target Market,11.0
2022-06-13,bit.ly/togetherAoU,https://ms-my.facebook.com/,,1.0
2022-06-14,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-14,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4.0
2022-06-14,bit.ly/togetherDTX,direct,HPO Target Market,13.0
2022-06-14,bit.ly/LGBTDetroit_PMT,https://lm.facebook.com/,Detroit_PMT,1.0
2022-04-06,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-06,bit.ly/LA-GoldenChange,direct,LA_PMT,1
2022-04-08,bit.ly/LA-GoldenChange,direct,LA_PMT,1
2022-04-12,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-14,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-19,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-28,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,3
2022-05-10,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2
2022-05-16,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2
2022-05-17,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-05-18,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-05-19,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2
2022-05-20,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-05-21,bit.ly/LA-GoldenChange,http://m.facebook.com,LA_PMT,1
2022-05-23,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-05-24,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,3
2022-05-25,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-01,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-01,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-01,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-02,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-04,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-05,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,4
2022-04-05,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-04-06,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
2022-04-06,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-07,bit.ly/togetherDMV,direct,DV Target Markets,3
2022-04-07,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-08,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4
2022-04-10,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-11,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-11,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-12,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-12,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-13,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-13,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-14,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-04-14,bit.ly/togetherDMV,direct,DV Target Markets,2
2022-04-16,bit.ly/togetherDMV,https://nphchq.com/millennium1/,DV Target Markets,1
2022-04-16,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-17,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-18,bit.ly/togetherDMV,direct,DV Target Markets,3
2022-04-18,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-04-19,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-20,bit.ly/togetherDMV,direct,DV Target Markets,28
2022-04-21,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-22,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-23,bit.ly/togetherDMV,direct,DV Target Markets,14
2022-04-23,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-24,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
2022-04-24,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-25,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-26,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-26,bit.ly/togetherDMV,direct,DV Target Markets,2
2022-04-27,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-28,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-29,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-04-29,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-30,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-05-01,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-01,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-02,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-02,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-05-03,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4
2022-05-03,bit.ly/togetherDMV,direct,DV Target Markets,2
2022-05-04,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-05,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-05,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-06,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
2022-05-06,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-07,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-09,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-09,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
2022-05-10,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-12,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-13,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-15,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-16,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4
2022-05-16,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,2
2022-05-17,bit.ly/togetherDMV,direct,DV Target Markets,2
2022-05-17,bit.ly/togetherDMV,https://nphchq.com/millennium1/,DV Target Markets,1
2022-05-17,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-06-14,bit.ly/LA-NOCOA,direct,LA_PMT,1.0
2022-05-18,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-05-19,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-20,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-24,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-26,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-09,bit.ly/PMT_DREF,direct,pmt / NY_PMT,2
2022-04-01,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,3
2022-04-12,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/togetherBOS,direct,HPO Target Market,2
2022-05-06,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-23,bit.ly/togetherBOS,direct,HPO Target Market,1
2022-05-25,bit.ly/togetherBOS,direct,HPO Target Market,1
2022-04-01,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,3
2022-04-12,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-26,bit.ly/togetherMIA,direct,HPO Target Market,1
2022-05-06,bit.ly/togetherMIA,direct,HPO Target Market,2
2022-05-06,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-16,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-04-19,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-04-19,bit.ly/togetherATL,direct,"",1
2022-04-20,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",4
2022-04-20,bit.ly/togetherATL,https://www.google.com/,"",1
2022-04-21,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",7
2022-04-21,bit.ly/togetherATL,https://www.rootedinresilience.co/atlanta-ga,"",1
2022-04-21,bit.ly/togetherATL,direct,"",1
2022-04-22,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",3
2022-04-22,bit.ly/togetherATL,direct,"",2
2022-04-22,bit.ly/togetherATL,https://www.google.com/,"",1
2022-04-22,bit.ly/togetherATL,http://partners.bit.ly/qr,"",1
2022-04-23,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",4
2022-04-23,bit.ly/togetherATL,http://partners.bit.ly/qr,"",2
2022-04-24,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-04-26,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-04-26,bit.ly/togetherATL,direct,"",1
2022-04-28,bit.ly/togetherATL,https://www.google.com/,"",1
2022-05-01,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-05-06,bit.ly/togetherATL,http://partners.bit.ly/qr,"",1
2022-05-06,bit.ly/togetherATL,direct,"",1
2022-05-10,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-05-11,bit.ly/togetherATL,direct,"",1
2022-05-12,bit.ly/togetherATL,direct,"",1
2022-05-17,bit.ly/togetherATL,https://www.google.com/,"",1
2022-04-29,bit.ly/togetherCHI,direct,"",3
2022-05-06,bit.ly/togetherCHI,http://partners.bit.ly/qr,"",1
2022-05-06,bit.ly/togetherCHI,direct,"",1
2022-05-10,bit.ly/togetherCHI,direct,"",1
2022-04-01,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-01,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,3
2022-04-06,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-06,bit.ly/togetherDTX,direct,HPO Target Market,1
2022-04-08,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-12,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-12,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-20,bit.ly/togetherDTX,direct,HPO Target Market,2
2022-04-20,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-24,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-24,bit.ly/togetherDTX,direct,HPO Target Market,1
2022-04-25,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-05-06,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/togetherDTX,direct,HPO Target Market,1
2022-05-23,bit.ly/togetherDTX,direct,HPO Target Market,4
2022-04-01,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,3
2022-04-12,bit.ly/togetherDTM,https://l.instagram.com/,HPO Target Market,5
2022-04-12,bit.ly/togetherDTM,direct,HPO Target Market,3
2022-04-12,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-13,bit.ly/togetherDTM,https://l.instagram.com/,HPO Target Market,3
2022-04-18,bit.ly/togetherDTM,https://t.co/,HPO Target Market,2
2022-04-18,bit.ly/togetherDTM,direct,HPO Target Market,1
2022-04-19,bit.ly/togetherDTM,https://t.co/,HPO Target Market,4
2022-04-19,bit.ly/togetherDTM,direct,HPO Target Market,1
2022-04-29,bit.ly/togetherDTM,direct,HPO Target Market,1
2022-05-06,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-10,bit.ly/togetherDTM,direct,HPO Target Market,1
2022-05-11,bit.ly/togetherDTM,direct,HPO Target Market,1
2022-04-01,bit.ly/togetherNY,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherNY,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-25,bit.ly/togetherNY,direct,HPO Target Market,1
2022-05-09,bit.ly/togetherNY,direct,HPO Target Market,2
2022-05-10,bit.ly/togetherNY,direct,HPO Target Market,1
2022-04-01,bit.ly/togetherWI,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherWI,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-10,bit.ly/togetherWI,direct,HPO Target Market,1
2022-04-12,bit.ly/juntosATL,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/juntosATL,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-12,bit.ly/juntosBOS,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/juntosBOS,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-23,bit.ly/juntosBOS,direct,HPO Target Market,2
2022-04-12,bit.ly/juntosCHI,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/juntosCHI,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-12,bit.ly/juntosDTX,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/juntosDTX,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-12,bit.ly/juntosDTM,http://partners.bit.ly/qr,HPO Target Market / Detroit,1
2022-05-06,bit.ly/juntosDTM,direct,HPO Target Market / Detroit,3
2022-05-06,bit.ly/juntosDTM,http://partners.bit.ly/qr,HPO Target Market / Detroit,1
2022-04-12,bit.ly/juntosMIA,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-26,bit.ly/juntosMIA,direct,HPO Target Market,1
2022-05-06,bit.ly/juntosMIA,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/juntosNY,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-12,bit.ly/juntosNY,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/juntosNY,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-09,bit.ly/juntosNY,direct,HPO Target Market,2
2022-04-12,bit.ly/juntosWI,http://partners.bit.ly/qr,"",1
2022-05-06,bit.ly/juntosWI,http://partners.bit.ly/qr,"",1
2022-04-01,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-05,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,4
2022-04-11,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-12,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-28,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-05,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-06,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-09,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-12,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-16,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,3
2022-05-17,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1
